product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
11,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,Donec ut dolor.,180.28,11.81,home decor,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,654,Purple,large,1.0,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,2011-05-18,3.2,631,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,3.0,805,express,7.76
12,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",790.72,23.86,home decor,fusce lacus purus aliquet at feugiat non pretium quis lectus,425,Turquoise,medium,3.1,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,2012-08-13,2.6,599,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,2.0,776,free,14.21
13,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",619.75,26.33,beauty,sapien sapien non mi integer ac neque duis bibendum morbi non quam,840,Puce,large,4.0,aenean lectus pellentesque eget nunc donec quis orci eget orci,2014-07-06,3.3,235,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,2.8,736,express,8.01
14,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",924.39,32.33,beauty,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,967,Indigo,small,6.6,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,2010-12-05,1.5,204,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,3.3,726,express,11.76
15,in magna bibendum imperdiet nullam orci pede venenatis non sodales,Etiam vel augue. Vestibulum rutrum rutrum neque.,567.74,49.06,toys,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,287,Violet,small,9.6,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2010-03-22,3.5,528,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,3.4,955,free,23.11
16,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,Ut tellus.,556.2,14.51,home decor,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,904,Puce,medium,6.7,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,2016-12-26,3.9,232,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1.2,607,standard,42.28
17,proin leo odio porttitor id consequat in consequat ut nulla,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",908.8,25.82,toys,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,103,Green,medium,5.0,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,2019-10-28,4.8,727,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,2.4,485,free,37.27
18,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",583.22,26.98,beauty,eget congue eget semper rutrum nulla nunc purus phasellus in,15,Pink,medium,3.9,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,2012-05-27,3.4,320,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,3.1,829,standard,49.85
19,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,Sed sagittis.,836.18,37.63,toys,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,953,Red,large,3.3,vitae nisl aenean lectus pellentesque eget nunc donec quis orci,2015-11-21,4.1,647,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,4.7,179,express,43.39
20,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",37.31,17.8,home decor,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,462,Maroon,medium,9.3,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,2013-12-01,4.7,162,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,2.5,426,standard,36.85
21,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",96.58,11.06,beauty,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,60,Green,medium,3.5,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,2014-08-04,1.8,197,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,2.0,25,express,8.48
22,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",275.08,34.88,toys,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,388,Aquamarine,large,1.4,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,2012-05-22,2.9,717,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,5.0,959,free,9.45
23,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,930.2,34.75,clothing,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,910,Teal,extra large,4.4,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,2016-11-22,2.8,619,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,4.4,423,express,45.33
24,in libero ut massa volutpat convallis morbi odio odio elementum,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",504.06,34.3,beauty,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,995,Red,extra large,0.4,id consequat in consequat ut nulla sed accumsan felis ut at,2014-12-17,1.5,978,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,4.0,315,standard,3.88
25,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",800.46,16.63,beauty,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,558,Fuscia,small,9.8,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,2022-07-16,3.7,32,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,2.6,155,standard,27.08
26,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",101.59,26.9,home decor,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,786,Aquamarine,small,1.4,in lectus pellentesque at nulla suspendisse potenti cras in purus,2017-10-09,2.3,756,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,1.9,994,free,26.56
27,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",843.61,46.93,toys,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,156,Aquamarine,large,8.4,est congue elementum in hac habitasse platea dictumst morbi vestibulum,2015-02-17,1.4,923,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,4.5,516,express,27.26
28,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,35.42,48.56,beauty,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,424,Crimson,medium,0.3,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,2010-11-07,4.3,100,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,4.6,514,standard,11.98
29,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",325.58,44.7,beauty,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,466,Orange,medium,1.9,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,2019-04-11,5.0,149,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,4.9,941,free,29.23
30,cursus id turpis integer aliquet massa id lobortis convallis tortor,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",73.45,31.58,beauty,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,875,Green,extra large,5.1,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,2019-10-30,3.6,72,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,4.0,498,free,28.23
31,massa donec dapibus duis at velit eu est congue elementum in,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,410.49,45.76,toys,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,495,Yellow,medium,8.8,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,2017-07-27,3.0,308,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,4.2,239,express,46.64
32,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",576.12,0.94,electronics,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,166,Blue,large,6.0,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,2016-07-02,2.2,700,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,2.9,298,standard,15.87
33,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,353.4,43.84,clothing,vestibulum velit id pretium iaculis diam erat fermentum justo nec,451,Goldenrod,small,0.1,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,2015-06-02,1.3,567,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,4.4,487,standard,40.59
34,sapien cursus vestibulum proin eu mi nulla ac enim in tempor,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,891.14,25.22,home decor,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,687,Crimson,extra large,1.7,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,2014-05-21,2.2,681,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,2.7,626,free,41.09
35,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",351.16,37.11,electronics,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,58,Turquoise,medium,4.0,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,2020-05-14,1.6,9,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,1.2,675,free,24.6
36,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",312.25,3.79,clothing,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,352,Puce,medium,5.6,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2014-08-20,1.5,212,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,1.7,378,standard,49.54
37,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",519.35,26.33,toys,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,551,Fuscia,small,3.2,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,2021-08-15,1.8,525,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,3.0,302,free,49.79
38,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",281.12,43.57,beauty,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,884,Blue,large,8.6,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2014-02-14,4.9,263,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1.5,519,standard,5.8
39,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,216.93,38.02,clothing,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,333,Maroon,extra large,9.2,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,2013-12-04,4.2,654,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,1.0,4,express,15.32
40,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,165.22,18.12,clothing,nulla neque libero convallis eget eleifend luctus ultricies eu nibh,564,Red,medium,4.7,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,2011-01-24,3.1,584,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,2.9,134,express,21.96
41,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",195.17,35.86,beauty,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,662,Orange,small,5.2,nibh fusce lacus purus aliquet at feugiat non pretium quis,2018-07-02,3.7,881,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,1.2,80,express,17.37
42,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",915.57,14.47,toys,morbi non lectus aliquam sit amet diam in magna bibendum,412,Teal,large,4.3,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2018-04-05,4.6,972,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,4.0,839,standard,8.91
43,posuere metus vitae ipsum aliquam non mauris morbi non lectus,"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",858.95,37.0,clothing,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,60,Crimson,extra large,1.8,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,2015-12-21,4.0,925,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,2.5,24,free,0.36
